                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4001,                 1.6185,                 1.1038,                0.52301,                 0.5181,                0.49645,                0.29774,                 1.2919,                 1.0464,                 1.0746,             0.00037011,             0.00037011,             0.00037011
                      2,                 1.3017,                 1.1305,                 1.0824,                0.65751,                0.50158,                0.54883,                0.34129,                 1.2276,                0.93633,                 1.0737,             0.00072579,             0.00072579,             0.00072579
                      3,                 1.2684,                 1.0133,                 1.0695,                0.63022,                 0.5231,                0.59555,                0.36489,                 1.1805,                0.86876,                 1.0571,              0.0010668,              0.0010668,              0.0010668
                      4,                 1.2383,                0.95444,                  1.058,                0.68409,                 0.5608,                 0.6262,                0.39211,                 1.1651,                0.84778,                 1.0487,               0.001045,               0.001045,               0.001045
                      5,                 1.1965,                 0.8957,                 1.0425,                0.74789,                0.53922,                0.63988,                0.40851,                 1.1245,                 0.8033,                 1.0371,               0.001045,               0.001045,               0.001045
                      6,                 1.1654,                0.85775,                  1.032,                0.71805,                0.59362,                0.66064,                0.43142,                 1.0956,                0.77845,                 1.0318,               0.001023,               0.001023,               0.001023
                      7,                 1.1421,                0.82687,                 1.0215,                0.73626,                0.63328,                0.69036,                0.44314,                 1.0911,                0.75379,                 1.0254,               0.001001,               0.001001,               0.001001
                      8,                 1.1277,                0.81388,                 1.0165,                0.71927,                0.62469,                0.68922,                0.45112,                  1.076,                0.74452,                 1.0254,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.1138,                0.79187,                 1.0107,                0.75127,                0.63016,                0.69435,                 0.4597,                 1.0613,                0.73455,                 1.0176,             0.00095702,             0.00095702,             0.00095702
                     10,                  1.101,                0.77124,                 1.0041,                 0.7803,                0.66244,                0.73945,                0.48922,                 1.0381,                0.69119,                  1.005,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.0809,                0.75257,                0.99767,                0.80083,                0.67109,                0.75105,                 0.4996,                 1.0152,                0.67706,                0.99686,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.0737,                0.74414,                0.99155,                0.82829,                0.65675,                0.75012,                0.50392,                 1.0078,                0.67201,                 0.9928,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.0689,                0.73334,                0.99118,                0.80821,                0.70095,                 0.7691,                0.50935,                0.99888,                0.66222,                 0.9892,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.0595,                0.71902,                0.98929,                0.83396,                0.68048,                0.77025,                0.52435,                0.99111,                 0.6456,                0.99229,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.0463,                0.70216,                0.97967,                0.81706,                0.67009,                0.76684,                 0.5124,                0.99484,                0.64636,                0.99249,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.0305,                0.69993,                0.98067,                0.83104,                0.67769,                 0.7816,                0.52723,                0.97373,                0.63625,                0.98499,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.0123,                0.68027,                0.97231,                0.81669,                0.71258,                0.79469,                  0.533,                0.96609,                0.61208,                0.97563,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.0145,                0.67777,                0.97109,                0.81769,                0.71278,                0.79801,                0.53558,                0.95979,                0.61891,                0.97745,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.0024,                0.65974,                0.96994,                0.85029,                0.71296,                0.79983,                0.54436,                  0.956,                 0.6111,                0.97864,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.0004,                0.66414,                0.96598,                0.85088,                0.71337,                0.81191,                0.55917,                0.94258,                0.60407,                0.97173,             0.00071504,             0.00071504,             0.00071504
                     21,                0.98843,                0.65118,                0.96213,                0.87563,                0.71376,                0.81387,                0.56015,                0.94802,                0.58678,                0.97151,             0.00069304,             0.00069304,             0.00069304
                     22,                0.97919,                0.64477,                0.95989,                0.87409,                0.72882,                0.82343,                0.57188,                0.92207,                0.57675,                0.96449,             0.00067104,             0.00067104,             0.00067104
                     23,                0.97284,                0.63629,                0.96141,                0.84693,                0.73679,                0.82111,                0.57158,                0.91785,                0.58802,                0.96407,             0.00064905,             0.00064905,             0.00064905
                     24,                0.96481,                0.62627,                0.95469,                0.85868,                0.74444,                0.82915,                0.58331,                0.91194,                 0.5779,                0.95958,             0.00062705,             0.00062705,             0.00062705
                     25,                0.96267,                0.62398,                 0.9573,                0.83979,                0.75746,                0.83266,                 0.5838,                0.90521,                0.57098,                0.95957,             0.00060505,             0.00060505,             0.00060505
                     26,                0.95022,                0.61023,                0.94861,                0.88038,                0.74467,                  0.844,                0.58644,                0.89935,                0.55941,                0.95412,             0.00058305,             0.00058305,             0.00058305
                     27,                0.94268,                0.60787,                 0.9474,                0.87553,                0.73095,                0.83961,                0.58906,                0.89858,                0.56269,                0.95301,             0.00056105,             0.00056105,             0.00056105
                     28,                0.94174,                0.60511,                0.94665,                0.86084,                0.74492,                0.83639,                0.58674,                0.89013,                0.55085,                 0.9501,             0.00053906,             0.00053906,             0.00053906
                     29,                0.93326,                0.59799,                0.93991,                0.85274,                0.75087,                0.83867,                0.58881,                0.87712,                0.54837,                0.94733,             0.00051706,             0.00051706,             0.00051706
                     30,                0.92599,                0.59027,                0.94117,                0.86993,                0.76822,                0.84547,                0.59539,                0.88388,                0.54711,                0.94847,             0.00049506,             0.00049506,             0.00049506
                     31,                0.91756,                0.58552,                0.93811,                0.88879,                 0.7486,                 0.8554,                0.60585,                0.87351,                0.53438,                0.94351,             0.00047306,             0.00047306,             0.00047306
                     32,                0.91499,                0.58093,                  0.936,                 0.8575,                0.77153,                0.85372,                0.60514,                0.86766,                0.53803,                0.94201,             0.00045107,             0.00045107,             0.00045107
                     33,                0.90181,                0.57638,                0.93436,                0.88073,                0.77184,                0.85589,                0.61093,                0.86673,                0.53032,                0.94176,             0.00042907,             0.00042907,             0.00042907
                     34,                0.90298,                0.57191,                 0.9315,                0.88571,                0.77587,                0.86119,                0.61144,                0.85491,                0.52563,                0.93891,             0.00040707,             0.00040707,             0.00040707
                     35,                0.89356,                0.56522,                0.92848,                0.89678,                0.75133,                0.86115,                0.61356,                0.85032,                0.52229,                0.93529,             0.00038507,             0.00038507,             0.00038507
                     36,                0.88867,                0.55834,                0.92617,                0.90404,                0.76882,                 0.8688,                0.61818,                0.85704,                0.51783,                0.93635,             0.00036307,             0.00036307,             0.00036307
                     37,                0.89009,                0.55895,                0.92728,                0.88717,                0.78601,                0.87284,                0.62139,                0.84685,                0.51197,                0.93192,             0.00034108,             0.00034108,             0.00034108
                     38,                0.87421,                0.54956,                0.92158,                0.88107,                0.78562,                  0.869,                0.62635,                0.83885,                0.51408,                 0.9331,             0.00031908,             0.00031908,             0.00031908
                     39,                0.87043,                0.54418,                0.92104,                0.89217,                0.78715,                0.87984,                0.62872,                0.84058,                 0.5108,                0.93523,             0.00029708,             0.00029708,             0.00029708
                     40,                0.86418,                0.53874,                0.91645,                 0.8825,                0.78865,                0.87525,                0.62999,                 0.8344,                0.50373,                0.93011,             0.00027508,             0.00027508,             0.00027508
                     41,                0.83247,                0.51059,                 0.9043,                0.88523,                0.79014,                0.87332,                0.63113,                0.83671,                0.50554,                0.93203,             0.00025309,             0.00025309,             0.00025309
                     42,                0.82558,                0.50319,                0.89986,                0.88037,                0.79134,                0.87333,                0.63407,                0.82795,                0.50185,                0.92846,             0.00023109,             0.00023109,             0.00023109
                     43,                0.81702,                0.49678,                0.89748,                0.88679,                0.79819,                0.87895,                0.63392,                0.83111,                0.50014,                0.92894,             0.00020909,             0.00020909,             0.00020909
                     44,                0.81123,                0.49204,                0.89514,                0.87634,                0.79965,                0.87869,                0.63462,                 0.8248,                0.50108,                0.92647,             0.00018709,             0.00018709,             0.00018709
                     45,                0.80534,                0.48977,                0.89547,                0.88448,                0.79493,                0.87616,                0.63779,                0.81905,                0.49679,                0.92694,             0.00016509,             0.00016509,             0.00016509
                     46,                0.79803,                0.48545,                0.89314,                0.89928,                0.79071,                0.88214,                0.64145,                0.81504,                0.49353,                0.92459,              0.0001431,              0.0001431,              0.0001431
                     47,                0.79353,                0.47953,                0.89214,                0.87654,                0.81196,                0.88512,                 0.6455,                0.81305,                0.49257,                0.92398,              0.0001211,              0.0001211,              0.0001211
                     48,                0.78806,                0.47608,                0.88935,                0.90748,                0.79631,                0.88585,                0.64601,                0.81015,                0.49182,                0.92191,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.77992,                0.47005,                0.88609,                0.89172,                0.80331,                0.88557,                0.64664,                0.80743,                0.48623,                0.92297,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.77757,                0.46771,                0.88633,                0.90056,                0.80339,                0.88985,                0.65095,                0.80583,                0.48502,                0.92291,             5.5106e-05,             5.5106e-05,             5.5106e-05
